ETF,causal,estatico,selectkbest,shap
IYR,0.05567645503982318,0.05243160112410935,0.05691392335257762,0.055347154300501605
SPY,0.05356803606741751,0.05130421668609276,0.05588508245042317,0.05156774472551313
VOX,0.06320073438923558,0.06041522659979954,0.05404554964397212,0.06106401537057868
XLB,0.0662007515455188,0.06432191892348238,0.0631054966904364,0.0662824412751322
XLE,0.1365449695560298,0.14359225864035116,0.1370615932804699,0.1391381152978652
XLF,0.07848694211271928,0.0786272670969303,0.08361590013530608,0.0760394757136519
XLI,0.07753850417265935,0.07097674091125207,0.07235951214274827,0.07349825268301656
XLK,0.06558489267919199,0.06610106894034061,0.06396578718736436,0.06416956735679322
XLP,0.03916848754969415,0.04251798458994643,0.037682008366703976,0.03878574463151345
XLU,0.04577074233866658,0.04945693885582369,0.046939046356177266,0.047173681691264194
XLV,0.04235552111421622,0.04599106089079986,0.04392251595345513,0.04205783877384148
XLY,0.06897207998213048,0.07101740223858023,0.06459569045713807,0.06755361117780674
